unique_id,long,lat,year,source,crop,treatment,n_kgpha,p_kgpha,k_kgpha,grain_yield_kgpha
EIAR_145_1492,37.76125,8.27114,2021,EIAR,Teff,NPKZnB,75,25,49.8,1492.083333
15042_38.254163_10.30584,38.254163,10.30584,2003,P_calibration NSRC,Teff,NP,138,40.17467249,0,1492.222222
ARARI_67_889,37.481417,11.292639,2021,ARARI,Teff,NPKSB,80,20.1,49.8,1492.5
EIAR_169_2191,37.91365,8.96672,2021,EIAR,Teff,NP,92,30.1,0,1492.5
20131_36.6161_8.070532,36.6161,8.070532,2011,Cascape,Teff,NP,64,20,0,1492.575
28182_38.284468_8.680174,38.284468,8.680174,2014,OARI_NPKS_Trial,Teff,NPKSZnB,138,30.13,66.1157,1492.8
EIAR_162_1976,39.035,8.653,2021,EIAR,Teff,NKSZnB,92,0,49.8,1493.333333
EIAR_165_2058,39.03,8.715,2021,EIAR,Teff,NPKSB,92,30.1,49.8,1493.333333
EIAR_199_3085,38.959,8.317,2021,EIAR,Teff,NKSZnB,92,0,49.8,1493.333333
EIAR_201_3159,38.907,8.261,2021,EIAR,Teff,NPS,92,30.1,0,1493.333333
14821_38.218389_10.320614,38.218389,10.320614,2003,P_calibration NSRC,Teff,NPK,92,10.04366812,49.58677686,1493.333333
15121_38.22807_10.334133,38.22807,10.334133,2003,P_calibration NSRC,Teff,NP,92,40.17467249,0,1493.333333
29496_38.422078_11.807463,38.422078,11.807463,2014,ARARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,74.38,1493.75
2656_473,37.764,12.435,2020,ARARI,Teff,NPSZnB,60,16.6,0,1494
29629_38.202236_8.607101,38.202236,8.607101,2015,OARI_NPKS_Trial,Teff,NPKSZnB,92,30.13100437,44.62809917,1495
EIAR_174_2337,38.10381,9.00244,2021,EIAR,Teff,NKSZnB,92,0,49.8,1495
16109_37.611186_8.289242,37.611186,8.289242,1996,P_calibration NSRC,Teff,N,138,0,0,1495.555556
20524_38.008296_7.717847,38.008296,7.717847,2013,Cascape,Teff,PK,0,55,75,1496
EIAR_145_1501,37.76125,8.27114,2021,EIAR,Teff,NP,75,25,0,1496.145833
15100_38.22807_10.334133,38.22807,10.334133,2003,P_calibration NSRC,Teff,N,46,0,0,1496.666667
16470_36.85328_12.003661,36.85328,12.003661,2004,P_calibration NSRC,Teff,NPK,92,10.04366812,49.58677686,1497
1507_154,37.840117,7.448517,2020,SARI,Teff,NP,80,24.9,0,1497
16105_37.611186_8.289242,37.611186,8.289242,1996,P_calibration NSRC,Teff,NP,46,10.04366812,0,1497.777778
19733_37.359488_10.707723,37.359488,10.707723,2011,Cascape,Teff,NPKSZn,46,8.73,8.26,1498
16138_37.636021_8.289864,37.636021,8.289864,1996,P_calibration NSRC,Teff,NP,138,20.08733624,0,1498.888889
DZ-EIAR-2_4641,38.3,9.21,2021,EIAR,Teff,NP,92,30.1,0,1499.1
6789_37.8011_10.5202,37.8011,10.5202,2016,ISFM-2016,Teff,NPSB_Org,7.666666667,16.59388646,0,1500
7294_37.7724_10.4717,37.7724,10.4717,2017,ISFM-2017,Teff,NPKSZn,7.666666667,5.531295488,3,1500
7438_37.609_10.3478,37.609,10.3478,2017,ISFM-2017,Teff,NPKSZnB_Org,73.6,35.95342067,3,1500
8934_38.166475_10.569818,38.166475,10.569818,2015,ATA_Balanced_Fertilizer_Trial,Teff,NP,92,20.08733624,0,1500
8944_38.137754_10.54269,38.137754,10.54269,2015,ATA_Balanced_Fertilizer_Trial,Teff,NPKSZnB,93,17.03056769,17.3553719,1500
9005_38.05099_7.317234,38.05099,7.317234,2014,ATA_Balanced_Fertilizer_Trial,Teff,NPKSZnB,63,17.03056769,17.3553719,1500
9179_37.838713_5.445513,37.838713,5.445513,2015,ATA_Balanced_Fertilizer_Trial,Teff,NP,64,20.08733624,0,1500
9182_37.838713_5.445513,37.838713,5.445513,2015,ATA_Balanced_Fertilizer_Trial,Teff,NPSZnB,63,15.28384279,0,1500
14898_38.199687_10.320712,38.199687,10.320712,2003,P_calibration NSRC,Teff,NP,138,40.17467249,0,1500
